feature,rf_importance,xgb_importance,mean_importance
family_size,0.36428071858380334,0.025804386,0.19504255206333646
barangay_Santa Monica,0.029761736866473713,0.23248917,0.13112545275521256
household_status_Graduated,0.05702789285825003,0.16038516,0.10870652724825496
dependents_0_18,0.11778402918463032,0.026716433,0.07225023132505556
children_in_school_ratio,0.10155627672756716,0.022354573,0.06195542486948274
children_in_school,0.09721541154407844,0.024445022,0.0608302165345519
pop_growth_2020_2024,0.03821670154738068,0.038625915,0.03842130807542622
household_status_Active,0.03622360542793883,0.02697369,0.03159864813278026
active_4ps_share,0.0278919102540982,0.032482393,0.030187151670027387
four_ps_per_1k_pop,0.024264877805605954,0.027755106,0.026009991836793932
pop_growth_2000_2024,0.025309805860864756,0.02605531,0.025682557891183913
pop_2024,0.02413416437267286,0.025086707,0.024610435438449298
barangay_Santa Lucia,0.005562119766892215,0.0422746,0.023918360762209306
barangay_Kaligayahan,0.0028413648024915986,0.037441947,0.020141655684298244
household_status_Delisted,0.0161625240492176,0.022673065,0.019417794446018884
barangay_Pasong Putik Proper,0.0035195151649264956,0.03042684,0.016973177265740855
barangay_Bagbag,0.003359006824552903,0.030218521,0.016788763978809063
barangay_San Agustin,0.0027337006340547787,0.025217298,0.013975499526169121
barangay_Fairview,0.0025218587074946944,0.023754282,0.013138070315334776
barangay_Gulod,0.0032630689466446447,0.02297107,0.013117069193445137
barangay_Nagkaisang Nayon,0.002444150004772566,0.020986756,0.011715453157319736
barangay_San Bartolome,0.002320805950685823,0.02038132,0.011351063109300775
household_status_Inactive,0.003442462729503121,0.01779493,0.010618696087146504
barangay_Greater Lagro,0.000891429102200138,0.01631813,0.008604779238888555
barangay_Novaliches Proper,0.0020645200145507905,0.014746641,0.00840558041171556
barangay_North Fairview,0.0028614107328950042,0.00562076,0.0042410853223650985
barangay_Capri,0.00234493153575337,0.0,0.001172465767876685
