model,cv_accuracy_mean,cv_accuracy_std,holdout_accuracy,holdout_precision_macro,holdout_recall_macro
Gradient Boosting,0.5973513762715963,0.01815619478627577,0.6215621562156216,0.532953190220632,0.4870051836083709
Logistic Regression,0.5918519582205966,0.016748280835394844,0.6160616061606161,0.5295880590298402,0.46812685973804896
Hybrid (Voting),0.5902028507943226,0.017119681638107134,0.6094609460946094,0.5114513932589507,0.47721802343975434
Random Forest,0.5481260486418671,0.008384257900254445,0.5698569856985699,0.46390091258230964,0.4445176678505018
